id,c1,c2,c3,c4,c5,c6
0,0,0.000−26.74,Sun,,0.0,G2 V
1,1,0.001−1.46,Sirius,α CMa,0008.6,"A0mA1 Va, DA2"
2,2,0.003−0.74,Canopus,α Car,0310,A9 II
3,3,0.004−0.27 (0.01 + 1.33),Rigil Kentaurus& Toliman,α Cen,0004.34,"G2 V, K1 V"
4,4,0.005−0.05,Arcturus,α Boo,0037,K0 III
5,5,0.03 (−0.02–0.07var),Vega,α Lyr,0025,A0 Va
6,6,0.08 (0.03–0.16var),Capella,α Aur,0043,"K0 III, G1 III"
7,7,0.13 (0.05–0.18var),Rigel,β Ori,0860,B8 Ia
8,8,0.34,Procyon,α CMi,0011,F5 IV-V
9,9,0.46 (0.40–0.46var),Achernar,α Eri,0139,B3 Vpe
10,10,0.50 (0.0–1.6var),Betelgeuse,α Ori,0550,M1-M2 Ia-ab
11,11,0.61,Hadar,β Cen,0390,B1 III
12,12,0.76,Altair,α Aql,0017,A7 V
13,13,0.76 (1.33 + 1.73),Acrux,α Cru,0320,"B0.5 IV, B1 V"
14,14,0.86 (0.75–0.95var),Aldebaran,α Tau,0065,K5 III
15,15,0.96 (0.6–1.6var),Antares,α Sco,0550,"M1.5 Iab-Ib, B2.5 V"
16,16,0.97 (0.97–1.04var),Spica,α Vir,0250,"B1 III-IV, B2 V"
17,17,1.14,Pollux,β Gem,0034,K0 III
18,18,1.16,Fomalhaut,α PsA,0025,A3 V
19,19,1.25 (1.21–1.29var),Deneb,α Cyg,"2,600",A2 Ia
20,20,1.25 (1.23–1.31var),Mimosa,β Cru,0280,"B0.5 III, B2 V"
21,21,1.39,Regulus,α Leo,0079,B8 IVn
22,22,1.50,Adhara,ε CMa,0430,B2 II
23,23,1.62,Shaula,λ Sco,0570,B2 IV
24,24,1.62 (1.98 + 2.97),Castor,α Gem,0051,"A1 V, Am"
25,25,1.64,Gacrux,γ Cru,0089,M3.5 III
26,26,1.64,Bellatrix,γ Ori,0250,B2 III
27,27,1.65,Elnath,β Tau/γ Aur,0130,B7 III
28,28,1.69,Miaplacidus,β Car,0110,A1 III
29,29,1.69 (1.64–1.74var),Alnilam,ε Ori,"2,000",B0 Ia
30,30,1.72 (1.81–1.87var + 4.27),—,γ Vel,0840,"WC8, O7.5III"
31,31,1.74,Alnair,α Gru,0100,B6 V
32,32,1.77,Alnitak,ζ Ori,"01,300","O9.5 Iab, B1 IV, B0 III"
33,33,1.77,Alioth,ε UMa,0083,A1 III-IVp kB9
34,34,1.79,Dubhe,α UMa,0120,"K0 III, F0 V"
35,35,1.80,Mirfak,α Per,0510,F5 Ib
36,36,1.82,Wezen,δ CMa,"1,800",F8 Ia
37,37,1.84,Sargas,θ Sco,0330,F0 II
38,38,1.85,Kaus Australis,ε Sgr,0140,B9.5 III
39,39,1.86,Avior,ε Car,0600,"K3 III, B2 Vp"
40,40,1.86,Alkaid,η UMa,0100,B3 V
41,41,1.90 (1.89–1.94var),Menkalinan,β Aur,080,A1mIV+A1mIV
42,42,1.91,Atria,α TrA,0390,K2 IIb-IIIa
43,43,1.92,Alhena,γ Gem,0100,A1.5 IV+
44,44,1.94,Peacock,α Pav,0180,B3 V
45,45,1.96 (1.99–2.39var + 5.57),Alsephina,δ Vel,0080,"A1 Va(n), F7.5 V"
